id;hoehe;breite;laenge;ort
123;1300;351;51.254;8.1565;Eslohe
124;1303;150;51.4041;6.9677;Essen-Bredeney
125;1327;147;50.7119;6.7905;Weilerswist-Lommersum
126;1332;472;48.4832;12.724;Falkenberg,Kr.Rottal-Inn
127;1339;73;52.9157;10.1885;Faßberg
128;1341;0;54.6;11.15;Fehmarnbelt
129;1346;1489.6;47.8749;8.0038;Feldberg/Schwarzwald
130;1357;654;49.9807;11.8376;Fichtelberg/Oberfranken-Hüttstadl
131;1358;1213;50.4283;12.9535;Fichtelberg
132;1374;363;50.5049;10.1671;Fladungen-Heufurt
133;1392;622;49.7317;12.3491;Flossenbürg
134;1411;745;50.5309;10.048;Birx/Rhön
135;1420;99.7;50.0259;8.5213;Frankfurt/Main
136;1424;124;50.1269;8.6694;Frankfurt/Main-Westend
137;1426;65;52.3397;14.508;Frankfurt/Oder
138;1440;481;48.2018;7.9336;Freiamt-Ottoschwanden
139;1441;416;50.9263;13.2711;Freiberg
140;1443;236.3;48.0233;7.8344;Freiburg
141;1451;2;53.8277;9.2493;Freiburg/Elbe
142;1468;796.5;48.4537;8.4091;Freudenstadt
143;1473;436;49.178;11.3735;Freystadt-Oberndorf
144;1503;5.7;53.0643;7.9022;Friesoythe-Altenoythe
145;1504;172;51.119;9.2799;Fritzlar (Flugplatz)
146;1526;242;50.5668;9.6533;Fulda-Horas
147;1544;47;52.5129;11.3941;Gardelegen
148;1550;719;47.4831;11.0623;Garmisch-Partenkirchen
149;1580;110.2;49.9859;7.9549;Geisenheim
150;1584;672;47.9242;8.6473;Geisingen
151;1587;536;48.9481;11.4289;Gelbelsee
152;1590;37;51.4942;6.2463;Geldern-Walbeck
153;1602;176;48.4329;7.9931;Ohlsbach
154;1605;35;52.3875;12.1601;Genthin
155;1612;311;50.8813;12.1289;Gera-Leumnitz
156;1619;90;49.7611;8.4876;Gernsheim
157;1621;550;50.2766;9.9146;Geroda-Platz
158;1639;202.7;50.6017;8.6439;Gießen/Wettenberg
159;1645;340;50.9656;9.05;Gilserberg-Moischeid
160;1666;27;54.8273;9.5057;Glücksburg-Meierwik
161;1667;1;53.797;9.4295;Glückstadt
162;1684;238;51.1622;14.9506;Görlitz
163;1689;443;49.7656;11.3061;Gößweinstein
164;1691;167;51.5003;9.9506;Göttingen
165;1694;58;53.606;12.1033;Goldberg
166;1721;506;49.664;11.2239;Gräfenberg-Kasberg
167;1735;628;48.7893;13.6291;Grainet-Rehberg
168;1736;27;53.5731;10.6797;Grambek
169;1757;2;54.0967;13.4056;Greifswald
170;1759;12;54.2437;13.9102;Greifswalder Oie
171;1766;47.8;52.1344;7.6969;Münster/Osnabrück
172;1803;34;54.0714;12.3238;Groß Lüsewitz
173;1832;1436;49.113;13.1342;Großer Arber
174;1844;517;47.941;11.9;Feldkirchen-Westerham-Lenzmühle
175;1863;258;50.2667;9.1854;Gründau-Breitenborn
176;1869;55.9;53.3153;13.9338;Grünow
177;1957;93;51.5138;11.9499;Halle-Kröllwitz
178;1964;328;49.9445;6.3821;Olsdorf
179;1975;11;53.6332;9.9881;Hamburg-Fuhlsbüttel
180;1981;3;53.4777;9.8957;Hamburg-Neuwiedenthal
181;2005;108;52.7199;10.5987;Hankensbüttel
182;2014;55;52.4644;9.6779;Hannover
183;2023;501.9;48.7918;10.7062;Harburg
184;2044;404;51.652;11.1367;Harzgerode
185;2074;522;48.3751;8.9801;Hechingen
186;2080;110;49.4206;8.6676;Heidelberg
187;2110;57;51.0411;6.1042;Heinsberg-Schleiden
188;2115;4;54.175;7.892;Helgoland
189;2159;430;48.5915;8.8541;Herrenberg
190;2167;302;49.7672;7.3356;Niederwörresbach
191;2171;272.2;50.8519;9.7378;Hersfeld, Bad
192;2174;238;51.6255;10.3695;Herzberg
193;2201;1;54.575;13.1044;Hiddensee-Vitte
194;2211;295;50.7371;7.6528;Hilgenroth
195;2252;270;50.899;14.7457;Bertsdorf-Hörnitz
196;2261;565.1;50.3122;11.8761;Hof
197;2268;263;50.1352;10.5156;Hofheim
198;2290;977;47.8009;11.0108;Hohenpeißenberg
199;2303;10;54.3146;9.539;Hohn
200;2306;8;54.3194;10.6732;Hohwacht
201;2315;81;51.7657;13.1666;Holzdorf (Flugplatz)
202;2319;685;47.8823;11.6962;Holzkirchen
203;2323;110;51.8529;9.4953;Bevern, Kr. Holzminden
204;2331;235;49.3278;7.3533;Homburg/Saar
205;2362;328;50.5651;7.4843;Hümmerich
206;2385;376;49.6927;7.3264;Idar-Oberstein
207;2388;193;48.0419;7.6322;Ihringen
208;2409;360;48.7662;11.4539;Ingolstadt (Flussmeisterstelle)
209;2410;364;48.7112;11.5362;Ingolstadt (Flugplatz)
210;2429;21;53.9897;9.5696;Itzehoe
211;2437;21.3;54.457;9.5203;Schleswig-Jagel
212;2444;155;50.9251;11.583;Jena (Sternwarte)
213;2475;75;52.0006;13.1022;Jüterbog
214;2480;107;50.0643;8.993;Kahl/Main
215;2483;839;51.1803;8.4891;Kahler Asten
216;2485;488.7;48.9171;9.6872;Kaisersbach-Cronhütte
217;2486;271;49.4262;7.7557;Kaiserslautern
218;2494;31;51.7329;6.2688;Kalkar
219;2497;505;50.5014;6.5264;Kall-Sistig
220;2502;447;51.3176;10.1355;Heiligenstadt, Heilbad-Kalteneber
221;2532;231;51.2963;9.4424;Kassel
222;2542;716;47.8652;10.6007;Kaufbeuren
223;2546;141;48.5576;7.88;Kehl-Odelshofen
224;2559;705.2;47.7233;10.3348;Kempten
225;2564;27;54.3761;10.1433;Kiel-Holtenau
226;2575;426;49.1804;9.98;Kirchberg/Jagst-Herboldshausen
227;2578;12;53.9995;11.4341;Kirchdorf/Poel
228;2597;281.8;50.2241;10.0792;Kissingen, Bad
229;2600;188;49.7363;10.1781;Kitzingen
230;2601;825.6;50.2218;8.4469;Kleiner Feldberg/Taunus
231;2618;732;50.8458;10.4803;Kleiner Inselsberg
232;2621;42;52.4036;13.2319;Kleinmachnow
233;2627;128;51.5554;13.8846;Klettwitz
234;2629;46;51.7612;6.0954;Kleve
235;2638;973.4;48.1054;8.7549;Klippeneck
236;2641;85;51.5185;12.9065;Klitzschen bei Torgau
237;2667;92;50.8646;7.1575;Köln-Bonn
238;2680;288;50.284;10.4456;Königshofen, Bad
239;2689;40;53.2279;9.6527;Königsmoor
240;2700;416;48.8302;11.4872;Kösching
241;2704;76;51.7511;12.0094;Köthen (Anhalt)
242;2708;740;47.6652;11.0804;Kohlgrub, Bad (Rosshof)
243;2712;442.5;47.6774;9.1901;Konstanz
244;2750;312;50.2523;11.3209;Kronach
245;2773;417;49.4283;11.9016;Kümmersbruck
246;2794;40;52.9363;12.4093;Kyritz
247;2796;40;53.9156;12.279;Laage (Flugplatz)
248;2812;155;48.3647;7.828;Lahr
249;2814;685;48.5121;9.7645;Merklingen
250;2829;621;48.0772;10.9144;Landsberg (Flugplatz)
251;2856;91;51.9173;13.0878;Langenlipsdorf
252;2886;539;48.2176;9.9097;Laupheim
253;2905;550;48.1849;10.8507;Lechfeld
254;2907;7;54.7903;8.9514;Leck
255;2925;356;51.3933;10.3123;Leinefelde
256;2928;138;51.3151;12.4462;Leipzig-Holzhausen
257;2932;131;51.4348;12.2396;Leipzig/Halle
258;2947;286;51.1333;8.0348;Lennestadt-Theten
259;2951;20;53.1007;11.4864;Lenzen/Elbe
260;2961;30.8;54.4996;10.2737;Leuchtturm Kiel
261;2968;43;50.9894;6.9777;Köln-Stammheim
262;2985;321;50.9383;14.2093;Lichtenhain-Mittelndorf
263;2996;352;48.7726;8.7287;Liebenzell, Bad (LUBW)
264;3015;98;52.2085;14.118;Lindenberg
265;3023;22;52.5181;7.3081;Lingen
266;3028;157;51.7855;8.8388;Lippspringe, Bad
267;3031;92;51.6336;8.3945;Lippstadt-Bökenförde
268;3032;26.2;55.011;8.4125;List auf Sylt
269;3034;500;50.4505;11.635;Lobenstein, Bad
270;3042;230;50.5617;8.2386;Löhnberg-Obershausen
271;3044;22;52.7198;7.7472;Löningen
272;3083;57;51.9267;13.8797;Lübben-Blumenfelde
273;3086;15.5;53.8025;10.6988;Lübeck-Blankensee
274;3093;17;52.9724;11.1374;Lüchow
275;3098;386.7;51.2452;7.6425;Lüdenscheid
276;3113;528;50.7663;10.7201;Luisenthal (Talsperre)
277;3126;76;52.1029;11.5827;Magdeburg
278;3137;195;49.9656;8.2139;Mainz-Lerchenberg (ZDF)
279;3147;418;48.7726;12.2177;Mallersdorf-Pfaffenberg/Niederbayern
280;3155;413;50.1015;6.8009;Manderscheid-Sonnenhof
281;3158;12;52.5468;14.5452;Manschnow
282;3164;187;50.8492;8.7746;Cölbe, Kr. Marburg-Biedenkopf
283;3166;639;50.651;13.1469;Marienberg
284;3167;546.6;50.662;7.9602;Marienberg, Bad
285;3170;5;54.4937;11.2405;Marienleuchte
286;3196;81;53.3223;11.9319;Marnitz
287;3204;427;50.7334;10.8815;Martinroda
288;3211;1011;48.9359;13.5747;Mauth-Finsterau
289;3226;107;51.7259;11.5111;Aschersleben-Mehringen
290;3231;450;50.5612;10.3771;Meiningen
291;3234;157;51.1294;13.4327;Garsebach bei Meißen
292;3236;89;52.2044;8.3382;Melle
293;3244;615;47.982;10.1384;Memmingen
294;3254;19;52.7156;7.3176;Meppen
295;3257;250;49.4773;9.7622;Mergentheim, Bad-Neunkirchen
296;3268;920;48.1875;8.9938;Meßstetten
297;3271;313;48.8548;12.9187;Metten
298;3278;355;48.5376;9.2733;Metzingen
299;3284;240;49.6691;9.0085;Michelstadt
300;3287;453;49.7176;9.0997;Michelstadt-Vielbrunn
301;3289;355;50.7281;11.7838;Schmieritz-Weltwitz
302;3291;128;49.712;9.2258;Miltenberg
303;3307;981;47.4779;11.2653;Mittenwald-Buckelwiesen
304;3319;239;49.7644;9.253;Röllbach
305;3340;265;50.4383;7.8061;Montabaur
306;3348;240;51.7209;9.8352;Moringen-Lutterbeck
307;3362;244;48.9721;8.8734;Mühlacker
308;3366;405.6;48.2791;12.5024;Mühldorf
309;3376;63;52.5176;14.1232;Müncheberg
310;3379;515.2;48.1631;11.5429;München-Stadt
311;3402;750;48.3851;9.4837;Münsingen-Apfelstetten
312;3426;125;51.566;14.7009;Muskau, Bad
313;3432;380;48.5667;8.7184;Nagold
314;3442;148.5;50.3574;8.7506;Nauheim, Bad
315;3484;380;48.7097;11.2096;Neuburg/Donau (Flugplatz)
316;3485;486;48.3115;10.3773;Neuburg/Kammel-Langenhaslach
317;3490;111;50.5346;7.0853;Neuenahr, Bad-Ahrweiler
318;3509;77;53.102;13.0421;Menz
319;3513;845;50.5002;11.1344;Neuhaus am Rennweg
320;3519;663;47.9519;8.9932;Neuhausen ob Eck-Unterschwandorf
321;3527;500;50.8923;9.405;Neukirchen-Hauptschwenda
322;3540;195;50.8446;7.372;Neunkirchen-Seelscheid-Krawinkel
323;3545;236;49.3436;7.2295;Neunkirchen-Wellesweiler
324;3552;38;52.9037;12.8072;Neuruppin
325;3571;452;49.8174;11.8638;Neustadt am Kulm-Filchendorf
326;3578;341;48.9832;12.1443;Regensburg-Burgweinting
327;3591;350;50.6743;6.424;Nideggen-Schmidt
328;3603;473;49.3895;9.9666;Niederstetten
329;3605;451;48.5334;10.243;Niederstotzingen
330;3612;25;52.6711;9.2229;Nienburg
331;3621;435;48.8254;10.5066;Reimlingen
332;3623;111;50.8294;6.6602;Nörvenich (Flugplatz)
333;3631;11;53.7123;7.1519;Norderney
334;3639;25;53.7647;8.6583;Nordholz (Flugplatz)
