id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
3231,2015-08-01,2015-08-31,25.8,20,14,2.13,247.9,97.8,36.1,7.4,16.2,61.3
222,2015-06-01,2015-06-30,21.1,15.4,9.6,-999,-999,81.6,32.1,3.5,-999,23.3
222,2015-07-01,2015-07-31,25.9,19.6,13.4,-999,-999,109.1,35.5,6.4,-999,45.5
222,2015-08-01,2015-08-31,27.1,20.5,14.1,-999,-999,95,36,7.4,-999,34.6
257,2015-06-01,2015-06-30,23.1,17.4,11.6,-999,-999,94.7,32.7,7.5,-999,22.6
257,2015-07-01,2015-07-31,28.3,21.8,14.7,-999,-999,27.3,36,6.5,-999,8.5
257,2015-08-01,2015-08-31,27.5,20.6,14.1,-999,-999,113.6,37.8,9.1,-999,73.4
259,2015-06-01,2015-06-30,24.4,18.4,12,-999,-999,61.8,33.3,6,-999,17.3
259,2015-07-01,2015-07-31,29.8,22.4,14.4,-999,-999,41.6,37.1,6.1,-999,32.1
259,2015-08-01,2015-08-31,27.7,20.5,13.7,-999,-999,74,38.6,8.3,-999,26.9
314,2015-06-01,2015-06-30,21.5,16.1,10.7,-999,-999,70.3,32.3,5.7,-999,19
314,2015-07-01,2015-07-31,26.9,20.7,14.7,-999,-999,67.6,35.8,9,-999,21.9
314,2015-08-01,2015-08-31,28.8,22.3,15.9,-999,-999,68.3,38.2,8.2,-999,39
755,2015-06-01,2015-06-30,23.1,16.8,10.4,-999,217.3,49.3,31.9,6.7,-999,15.4
755,2015-07-01,2015-07-31,28.1,20.6,12.7,-999,270.8,46.3,37.9,4.9,-999,14.5
755,2015-08-01,2015-08-31,28.1,20.4,13.5,-999,247.4,55.4,38.9,8,-999,21.8
853,2015-06-01,2015-06-30,20.4,15.4,10.8,2.7,201.5,72.7,31.1,6.4,19.1,14.8
853,2015-07-01,2015-07-31,25.2,19.7,14.4,2.77,264.7,49,34.5,6.8,21.9,11.4
853,2015-08-01,2015-08-31,26.4,20.9,15.3,2.23,261.8,88.5,36,9.5,18,26.4
1207,2015-06-01,2015-06-30,20,14.4,9,-999,-999,72.7,31.5,2.9,-999,20.5
1207,2015-07-01,2015-07-31,24.8,18.7,12.3,-999,-999,51.9,33.5,5.2,-999,17.3
1207,2015-08-01,2015-08-31,25.8,19.8,13.9,-999,-999,80.8,34.9,6.9,-999,40.6
1684,2015-06-01,2015-06-30,21.1,15.8,10.2,2.3,208.5,69.3,31.6,4.9,13,15.5
1684,2015-07-01,2015-07-31,26.1,20.2,13.6,2.48,277.2,42.1,34.5,7.1,21.3,9.3
1684,2015-08-01,2015-08-31,29.1,22.2,15,2.19,268.6,32.4,37.9,7.9,14.6,9.7
2074,2015-06-01,2015-06-30,22.4,16.6,10.7,-999,222.5,62.8,30.7,5.4,-999,19.3
2074,2015-07-01,2015-07-31,28,21,13.5,-999,289.1,29.6,36.4,5.5,-999,11.3
2074,2015-08-01,2015-08-31,27.1,19.9,13.2,-999,245,94.6,35.3,7.7,-999,39.1
2115,2015-06-01,2015-06-30,15.7,13.5,11.6,3.9,221.4,-999,20,9.9,22.8,5.6
2115,2015-07-01,2015-07-31,18.8,16.6,14.6,4.39,237.7,83.2,25.9,12.1,25.3,13.1
2115,2015-08-01,2015-08-31,20.1,18.1,16.3,-999,198.7,108.5,23.6,13.8,20.9,26.6
2252,2015-06-01,2015-06-30,21.2,15.4,9.1,1.83,204.9,74.2,31.3,5,14.5,13.2
2252,2015-07-01,2015-07-31,26.2,19.3,11.8,1.9,273.5,54.7,34.3,4.3,23.6,12.3
